Device Brand,AVA Type,Device Model,MPPT,INPUT,Forwarding Modbus ID,Data Label,Address,Size,Modbus Type,Divider,Register Type
Sungrow,Inverter,SG125CX-P2,,,6,Daily Yield,5002,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Total Yield,5003,2,U32,1,input
Sungrow,Inverter,SG125CX-P2,,,6,Total Operation Time,5005,2,U32,1,input
Sungrow,Inverter,SG125CX-P2,,,6,Internal Air Temperature,5007,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Total DC Power,5016,2,U32,1000,input
Sungrow,Inverter,SG125CX-P2,,,6,A-B Line Voltage/Phase A Voltage,5018,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,B-C Line Voltage/Phase B Voltage,5019,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,C-A Line Voltage/Phase C Voltage,5020,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Phase A Current,5021,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Phase B Current,5022,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Phase C Current,5023,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Active Power,5030,2,U32,1000,input
Sungrow,Inverter,SG125CX-P2,,,6,Reactive Pow,5032,2,I32,1000,input
Sungrow,Inverter,SG125CX-P2,,,6,PF,5034,1,I16,1000,input
Sungrow,Inverter,SG125CX-P2,,,6,Grid Frequency,5035,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,SG System State,5037,1,U16,1,input
Sungrow,Inverter,SG125CX-P2,,,6,Rated Reactive Power Output,5048,1,U16,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Parallel Ground Impedance,5070,1,U16,1,input
Sungrow,Inverter,SG125CX-P2,,,6,SG Running State,5080,2,U32,1,input
Sungrow,Inverter,SG125CX-P2,,,6,Daily Operation Time,5112,1,U16,1,input
Sungrow,Inverter,SG125CX-P2,,,6,Monthly Yield,5127,2,U32,10,input
Sungrow,Inverter,SG125CX-P2,,,6,Total Yield,5143,2,U32,10,input
Sungrow,Inverter,SG125CX-P2,,,6,SG Alarm Code 1,5044,1,U16,1,input
Sungrow,Inverter,SG125CX-P2,,,6,Set Active Power %,31204,1,U16,10,holding
Sungrow,MPPT,SG125CX-P3,1,,6,Udc,5010,1,U16,10,input
Sungrow,MPPT,SG125CX-P4,1,,6,Idc,5011,1,U16,10,input
Sungrow,MPPT,SG125CX-P5,2,,6,Udc,5012,1,U16,10,input
Sungrow,MPPT,SG125CX-P6,2,,6,Idc,5013,1,U16,10,input
Sungrow,MPPT,SG125CX-P7,3,,6,Udc,5014,1,U16,10,input
Sungrow,MPPT,SG125CX-P8,3,,6,Idc,5015,1,U16,10,input
Sungrow,MPPT,SG125CX-P9,4,,6,Udc,5114,1,U16,10,input
Sungrow,MPPT,SG125CX-P10,4,,6,Idc,5115,1,U16,10,input
Sungrow,MPPT,SG125CX-P11,5,,6,Udc,5116,1,U16,10,input
Sungrow,MPPT,SG125CX-P12,5,,6,Idc,5117,1,U16,10,input
Sungrow,MPPT,SG125CX-P13,6,,6,Udc,5118,1,U16,10,input
Sungrow,MPPT,SG125CX-P14,6,,6,Idc,5119,1,U16,10,input
Sungrow,MPPT,SG125CX-P15,7,,6,Udc,5120,1,U16,10,input
Sungrow,MPPT,SG125CX-P16,7,,6,Idc,5121,1,U16,10,input
Sungrow,MPPT,SG125CX-P17,8,,6,Udc,5122,1,U16,10,input
Sungrow,MPPT,SG125CX-P18,8,,6,Idc,5123,1,U16,10,input
Sungrow,MPPT,SG125CX-P19,9,,6,Udc,5129,1,U16,10,input
Sungrow,MPPT,SG125CX-P20,9,,6,Idc,5130,1,U16,10,input
Sungrow,MPPT,SG125CX-P21,10,,6,Udc,5131,1,U16,10,input
Sungrow,MPPT,SG125CX-P22,10,,6,Idc,5132,1,U16,10,input
Sungrow,MPPT,SG125CX-P23,11,,6,Udc,5133,1,U16,10,input
Sungrow,MPPT,SG125CX-P24,11,,6,Idc,5134,1,U16,10,input
Sungrow,MPPT,SG125CX-P25,12,,6,Udc,5135,1,U16,10,input
Sungrow,MPPT,SG125CX-P26,12,,6,Idc,5136,1,U16,10,input
Sungrow,String,SG125CX-P27,1,1,6,Idc,7012,1,U16,100,input
Sungrow,String,SG125CX-P28,1,1,6,Udc,5010,1,U16,10,input
