Device Brand,Device Model,AVA Type,MPPT,INPUT,Data Label,Address,Size,Modbus Type,Divider,Register Type
Sungrow,SG20KTL-M,Inverter,,,Daily Yield,5002,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Total Yield,5003,2,U32,1,input
Sungrow,SG20KTL-M,Inverter,,,Total Operation Time,5005,2,U32,1,input
Sungrow,SG20KTL-M,Inverter,,,Internal Air Temperature,5007,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Total DC Power,5016,2,U32,1000,input
Sungrow,SG20KTL-M,Inverter,,,A-B Line Voltage/Phase A Voltage,5018,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,B-C Line Voltage/Phase B Voltage,5019,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,C-A Line Voltage/Phase C Voltage,5020,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Phase A Current,5021,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Phase B Current,5022,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Phase C Current,5023,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Active Power,5030,2,U32,1000,input
Sungrow,SG20KTL-M,Inverter,,,Reactive Pow,5032,2,I32,1000,input
Sungrow,SG20KTL-M,Inverter,,,PF,5034,1,I16,1000,input
Sungrow,SG20KTL-M,Inverter,,,Grid Frequency,5035,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,SG System State,5037,1,U16,1,input
Sungrow,SG20KTL-M,Inverter,,,Rated Reactive Power Output,5048,1,U16,10,input
Sungrow,SG20KTL-M,Inverter,,,Parallel Ground Impedance,5070,1,U16,1,input
Sungrow,SG20KTL-M,Inverter,,,SG Running State,5080,2,U32,1,input
Sungrow,SG20KTL-M,Inverter,,,Daily Operation Time,5112,1,U16,1,input
Sungrow,SG20KTL-M,Inverter,,,Monthly Yield,5127,2,U32,10,input
Sungrow,SG20KTL-M,Inverter,,,Total Yield,5143,2,U32,10,input
Sungrow,SG20KTL-M,Inverter,,,SG Alarm Code 1,5044,1,U16,1,input
Sungrow,SG20KTL-M,Inverter,,,Set Active Power %,31204,1,U16,10,holding
Sungrow,SG20KTL-M,MPPT,1,,Udc,5010,1,U16,10,input
Sungrow,SG20KTL-M,MPPT,1,,Idc,5011,1,U16,10,input
Sungrow,SG20KTL-M,MPPT,2,,Udc,5012,1,U16,10,input
Sungrow,SG20KTL-M,MPPT,2,,Idc,5013,1,U16,10,input
Sungrow,SG20KTL-M,String,1,1,Idc,7012,1,U16,100,input
Sungrow,SG20KTL-M,String,1,1,Udc,5010,1,U16,10,input
Sungrow,SG20KTL-M,String,1,2,Idc,7013,1,U16,100,input
Sungrow,SG20KTL-M,String,1,2,Udc,5010,1,U16,10,input
Sungrow,SG20KTL-M,String,2,3,Idc,7014,1,U16,100,input
Sungrow,SG20KTL-M,String,2,3,Udc,5012,1,U16,10,input
Sungrow,SG20KTL-M,String,2,4,Idc,7015,1,U16,100,input
Sungrow,SG20KTL-M,String,2,4,Udc,5012,1,U16,10,input
